Title;Views;views_numeric;Date;Duration;hours;minutes;seconds;hours;minutes;seconds
Weihnachtsumfrage: Die besten Momente im Jahr 2012 ; 1,091;1091;12 years;3 minutes, 33 seconds;0;3 minutes;33 seconds;0;3;33
Welche Karriere wünschen sich Studierende? ; 1,085;1085;8 years;2 minutes, 52 seconds;0;2 minutes;52 seconds;0;2;52
Talk im Turm: Im Kreuzfeuer ; 1,079;1079;8 years;1 hour, 18 minutes;1 hour;18 minutes;0;1;18;0
Aufgefallen: UZH Alumna Seraina Rohrer ; 1,062;1062;5 years;2 minutes, 41 seconds;0;2 minutes;41 seconds;0;2;41
Der Mensch braucht Geschichten ; 1,055;1055;4 years;12 minutes, 42 seconds;0;12 minutes;42 seconds;0;12;42
Die langwierige Erfolgsgeschichte der Menschenwürde ; 1,050;1050;4 years;7 minutes, 51 seconds;0;7 minutes;51 seconds;0;7;51
2022 UZH Innovathon: The Digitalization of Mobility ; 1,018;1018;2 years;4 minutes, 54 seconds;0;4 minutes;54 seconds;0;4;54
„Ich habe beim Sport viele neue Leute kennengelernt“ | Student Stories ; 1,012;1012;2 years;2 minutes, 52 seconds;0;2 minutes;52 seconds;0;2;52
Personalisierte Medizin ; 1,012;1012;9 years;4 minutes, 44 seconds;0;4 minutes;44 seconds;0;4;44
UZH Lehrpreis 2021: Guido Gefter ; 1,009;1009;3 years;6 minutes, 57 seconds;0;6 minutes;57 seconds;0;6;57
The origins of key immune cells ; 1,007;1007;12 years;11 minutes;0;11 minutes;0;0;11;0
Back to UZH | Herbstsemester 2020 | Fall Semester 2020 ; 1,003;1003;4 years;1 minute, 39 seconds;0;1 minute;39 seconds;0;1;39
Internationales Drohnenrennen «AlphaPilot», AlphaPilot international drone race ;990;990;5 years;14 seconds;0;FALSE;0;0;0;14
VSUZH-Wahlen: Die Gewinner im Gespräch ;989;989;11 years;25 minutes;0;25 minutes;0;0;25;0
Literatur kann auch schmutzig sein ;983;983;4 years;13 minutes, 10 seconds;0;13 minutes;10 seconds;0;13;10
Die Wasserstoffgesellschaft / The Hydrogen Society ;976;976;5 years;1 minute, 51 seconds;0;1 minute;51 seconds;0;1;51
XXL-Tannenbaum zu Weihnachten ;959;959;11 years;4 minutes;0;4 minutes;0;0;4;0
SNS-Lab der Universität Zürich ;923;923;13 years;6 minutes, 53 seconds;0;6 minutes;53 seconds;0;6;53
UZH International Summer Schools 2023 - Testimonials ;914;914;1 year;1 minute, 11 seconds;0;1 minute;11 seconds;0;1;11
Krisenbewusstsein und Recht ;912;912;3 years;11 minutes, 25 seconds;0;11 minutes;25 seconds;0;11;25
Lehrpreis 2024 Marc Thommen ;898;898;10 months;3 minutes, 48 seconds;0;3 minutes;48 seconds;0;3;48
We are ready | Fall Semester 2023 | University of Zurich ;897;897;1 year;1 minute, 30 seconds;0;1 minute;30 seconds;0;1;30
Phenology and climate change (2017) ;896;896;4 years;3 minutes, 29 seconds;0;3 minutes;29 seconds;0;3;29
Welcome to the Fall Semester 2024 | University of Zurich ;895;895;6 months;51 seconds;0;FALSE;0;0;0;51
Zu Besuch bei der Klinik für Zoo-, Heim- und Wildtiere am Tierspital Zürich ;891;891;9 years;5 minutes, 48 seconds;0;5 minutes;48 seconds;0;5;48
